2025/05/25 19:04:14 [error] 42576#63260: *1 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local"
2025/05/25 19:04:14 [error] 42576#63260: *1 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local"
2025/05/25 19:07:18 [error] 63864#57260: *19 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local"
2025/05/25 19:07:18 [error] 63864#57260: *17 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/plugins.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/wp-admin/themes.php"
2025/05/25 19:07:18 [error] 63864#57260: *17 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/plugins.php HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/wp-admin/themes.php"
2025/05/25 19:07:18 [error] 63864#57260: *19 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local"
2025/05/25 19:07:18 [error] 63864#57260: *21 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/wp-admin/themes.php"
2025/05/25 19:16:59 [error] 56192#48660: *86 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/wp-admin/"
2025/05/25 19:16:59 [error] 56192#48660: *313 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/2025/03/28/hello-world/"
2025/05/25 19:16:59 [error] 56192#48660: *317 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/plugins.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/wp-admin/themes.php"
2025/06/04 12:35:25 [error] 60544#24380: *7590 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:25 [error] 60544#24380: *7590 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:27 [error] 60544#24380: *7593 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:27 [error] 60544#24380: *7594 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:28 [error] 60544#24380: *7595 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:29 [error] 60544#24380: *7596 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:29 [error] 60544#24380: *7597 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:29 [error] 60544#24380: *7598 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:29 [error] 60544#24380: *7599 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:30 [error] 60544#24380: *7600 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:30 [error] 60544#24380: *7601 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:30 [error] 60544#24380: *7602 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:30 [error] 60544#24380: *7603 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:30 [error] 60544#24380: *7604 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:30 [error] 60544#24380: *7605 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:30 [error] 60544#24380: *7606 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:30 [error] 60544#24380: *7607 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:30 [error] 60544#24380: *7608 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 12:35:34 [error] 60544#24380: *7609 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /help-support/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 12:35:34 [error] 60544#24380: *7610 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/help-support/"
2025/06/04 14:56:58 [error] 60544#24380: *14128 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-1.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14132 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-3.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14132 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-3.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14156 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-4.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14156 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-4.png HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14162 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section2.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14162 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section2.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14164 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section3.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14164 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section3.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14160 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/icon-document.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14160 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/icon-document.png HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14158 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-5.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14158 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-5.png HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14166 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section4.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14167 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section5.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14168 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section6.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14169 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section7.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14170 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/section8.jpg HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/04 14:56:58 [error] 60544#24380: *14172 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:35 [error] 56604#46712: *4961 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/icon-document.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:35 [error] 56604#46712: *4959 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-5.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:35 [error] 56604#46712: *4959 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/partner-5.png HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:37 [error] 56604#46712: *4961 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/FMTbroker/assets/images/icon-document.png HTTP/1.1", upstream: "fastcgi://127.0.0.1:10007", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:37 [error] 56604#46712: *4965 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:41 [error] 56604#46712: *4966 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /about-us/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/"
2025/06/08 18:25:41 [error] 56604#46712: *4967 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
2025/06/08 18:25:43 [error] 56604#46712: *4968 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /about-us/ HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/"
2025/06/08 18:25:43 [error] 56604#46712: *4969 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "wordpress-6-7-2.local", referrer: "http://wordpress-6-7-2.local/about-us/"
